"","Gene_Symbol","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000106348","IMPDH1",0.378566227439406,0.136505653621421,0.367,0.268,1
"ENSG00000131778","CHD1L",0.378675690049596,0.142930937915133,0.633,0.484,1
"ENSG00000101445","PPP1R16B",0.378867691362882,0.464070816574294,0.51,0.384,1
"ENSG00000158887","MPZ",0.378893993511533,-0.819905275530835,0.041,0.074,1
"ENSG00000188760","TMEM198",0.378893993511533,-1.23532370923942,0.041,0.074,1
"ENSG00000151657","KIN",0.379049865656397,-0.436316424553983,0.347,0.237,1
"ENSG00000151779","NBAS",0.379201620501327,-0.270340479833217,0.959,0.842,1
"ENSG00000198874","TYW1",0.37938740989521,-0.610838960956273,0.653,0.574,1
"ENSG00000106799","TGFBR1",0.379552790332334,-0.394474770086083,0.449,0.305,1
"ENSG00000171368","TPPP",0.379617392109145,-0.739175752354318,0.776,0.611,1
"ENSG00000165795","NDRG2",0.379626026435046,-0.44043167185702,0.224,0.153,1
"ENSG00000031691","CENPQ",0.379631590731798,0.573194575693787,0.082,0.047,1
"ENSG00000177105","RHOG",0.379631590731798,0.473459055106555,0.082,0.047,1
"ENSG00000166881","NEMP1",0.379631590731798,0.493149136699804,0.082,0.047,1
"ENSG00000103995","CEP152",0.379631590731798,0.425894252056167,0.082,0.047,1
"ENSG00000259240","MIR4713HG",0.379631590731798,0.234650779735134,0.082,0.047,1
"ENSG00000260305","NTRK3-AS1",0.379631590731798,0.210565190838707,0.082,0.047,1
"ENSG00000165449","SLC16A9",0.379824103643019,0.154071979306852,0.286,0.211,1
"ENSG00000120519","SLC10A7",0.379876559651742,-0.555673201634783,0.592,0.379,1
"ENSG00000000457","SCYL3",0.379888993908803,-0.163563997442469,0.286,0.2,1
"ENSG00000100242","SUN2",0.379957590160347,-0.170393809156192,0.327,0.232,1
"ENSG00000106477","CEP41",0.379978713112985,-0.350452230733636,0.408,0.274,1
"ENSG00000034533","ASTE1",0.380181877126025,-0.314631379335323,0.143,0.089,1
"ENSG00000036054","TBC1D23",0.380277628918357,-0.27286358423614,0.551,0.374,1
"ENSG00000272512",NA,0.380333069419851,0.50019857442851,0,0.016,1
"ENSG00000270035",NA,0.380333069419851,0.678409970410324,0,0.016,1
"ENSG00000120949","TNFRSF8",0.380333069419851,-0.140680313461917,0,0.016,1
"ENSG00000226029","LINC01772",0.380333069419851,0.498249209037243,0,0.016,1
"ENSG00000228172",NA,0.380333069419851,0.327583241233778,0,0.016,1
"ENSG00000130775","THEMIS2",0.380333069419851,0.615160999337663,0,0.016,1
"ENSG00000235790",NA,0.380333069419851,0.382221302159027,0,0.016,1
"ENSG00000142698","C1orf94",0.380333069419851,0.306634713686382,0,0.016,1
"ENSG00000092853","CLSPN",0.380333069419851,0.874013101603987,0,0.016,1
"ENSG00000284719","LOC130932201",0.380333069419851,0.499554047392641,0,0.016,1
"ENSG00000274386","TMEM269",0.380333069419851,-0.145223986693933,0,0.016,1
"ENSG00000269113","TRABD2B",0.380333069419851,0.405538856563032,0,0.016,1
"ENSG00000143001","TMEM61",0.380333069419851,-0.24373546314306,0,0.016,1
"ENSG00000226883",NA,0.380333069419851,0.61067179189454,0,0.016,1
"ENSG00000137959","IFI44L",0.380333069419851,0.4296680344823,0,0.016,1
"ENSG00000174021","GNG5",0.380333069419851,0.388992415335381,0,0.016,1
"ENSG00000162654","GBP4",0.380333069419851,0.452148236392675,0,0.016,1
"ENSG00000236137","CD101-AS1",0.380333069419851,0.733758536417611,0,0.016,1
