"","Gene_Symbol","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TMEM87B","TMEM87B",0.052471128758993,0.208466442649884,0.306,0.273,1
"PAICS","PAICS",0.0524743713983785,-0.349291108603143,0.179,0.203,1
"BIRC2","BIRC2",0.0525224870550344,0.142562429628665,0.366,0.335,1
"RRAGD","RRAGD",0.0525382602202257,0.534513007341721,0.111,0.091,1
"ACAP1","ACAP1",0.0525433960001737,-0.604886752821831,0.014,0.024,1
"ZNF624","ZNF624",0.0525767103455399,0.237953995238246,0.201,0.175,1
"C20orf204","C20orf204",0.0526306300886346,-0.786019857870901,0.01,0.019,1
"SBK1","SBK1",0.0526339348397196,0.597409374917989,0.039,0.027,1
"B3GALNT2","B3GALNT2",0.0526376192094926,-0.244883395495368,0.233,0.258,1
"CUL2","CUL2",0.0527572294449236,0.170282667185168,0.388,0.354,1
"FKBPL","FKBPL",0.0527856200196988,0.795577597538657,0.021,0.012,1
"DCTN6-DT","DCTN6-DT",0.052838228174951,0.299647503220462,0.081,0.062,1
"ARL3","ARL3",0.0529164744679414,-0.17561693504653,0.323,0.352,1
"EHBP1-AS1","EHBP1-AS1",0.0529474061175839,0.925051226910566,0.015,0.007,1
"KCNJ2-AS1","KCNJ2-AS1",0.0529673728343529,0.422954808383985,0.082,0.064,1
"RLIM","RLIM",0.0530238498983222,0.110063919166639,0.269,0.236,1
"BLNK","BLNK",0.0530646796482452,0.985588845073349,0.015,0.007,1
"ENSG00000258101","ENSG00000258101",0.0530760092714874,1.03965022756224,0.025,0.015,1
"ENSG00000232611","ENSG00000232611",0.053080140098068,-0.247063557056596,0.296,0.325,1
"TRIM32","TRIM32",0.0531253418197015,0.323567152209482,0.086,0.067,1
"SHISA8","SHISA8",0.0531454350238807,0.565940172724377,0.021,0.012,1
"ENSG00000233885","ENSG00000233885",0.0532352308996853,-0.420681058090664,0.044,0.059,1
"CD44","CD44",0.0532593666627451,-0.103266676906755,0.308,0.341,1
"ENSG00000254434","ENSG00000254434",0.0532704305240728,0.666345409146333,0.015,0.007,1
"HAUS1","HAUS1",0.0532856951591553,0.44083906611778,0.091,0.072,1
"ENSG00000273064","ENSG00000273064",0.0534059920183377,0.156438971563066,0.111,0.088,1
"RPA2","RPA2",0.0534108386779839,0.227819534706259,0.197,0.17,1
"ZZEF1","ZZEF1",0.0534438181522676,-0.142596749213247,0.573,0.588,1
"WAPL","WAPL",0.0534466198067496,-0.114459257771992,0.509,0.537,1
"TTC8","TTC8",0.0535470674289278,-0.293322479831472,0.082,0.103,1
"MAPK6","MAPK6",0.0535871422596444,-0.107373864838952,0.516,0.544,1
"AMPD1","AMPD1",0.0536600516131285,-0.672659822090428,0.01,0.019,1
"HPS5","HPS5",0.0537063070485899,0.109674325730096,0.32,0.287,1
"CYP2D6","CYP2D6",0.0537496792570301,0.662040966955215,0.021,0.012,1
"KCNH7","KCNH7",0.0537573809991251,-0.281434333732155,0.067,0.086,1
"ENSG00000271949","ENSG00000271949",0.0537631807965542,-0.743837004995684,0.021,0.032,1
"ZNF528","ZNF528",0.0538982010046687,-0.26839307663275,0.167,0.193,1
"ZFX-AS1","ZFX-AS1",0.0539214190348555,0.754190054486465,0.015,0.007,1
"ENSG00000264513","ENSG00000264513",0.0539232373259053,0.536004272743234,0.029,0.018,1
"MTRFR","MTRFR",0.0539478538929482,0.206117028650242,0.196,0.167,1
"MMP15","MMP15",0.053993880038713,-0.336017134936597,0.04,0.055,1
"PSMC5","PSMC5",0.0540582231088215,0.123301308456922,0.274,0.242,1
"ENSG00000275409","ENSG00000275409",0.054068302701145,1.56081439216991,0.01,0.004,1
"MIR210HG","MIR210HG",0.0540963724328961,-0.95541202343511,0.009,0.017,1
"SPTLC1","SPTLC1",0.0541405191814965,-0.149948748953748,0.518,0.533,1
"TMEM33","TMEM33",0.0541939652214323,-0.203677135167706,0.401,0.425,1
"ENSG00000268170","ENSG00000268170",0.0542340612111149,-0.585946159861155,0.037,0.051,1
"ENSG00000266933","ENSG00000266933",0.054347987657234,0.81991646426623,0.025,0.015,1
"STYXL1","STYXL1",0.0543491045207715,-0.17309236683112,0.366,0.394,1
"ANKS6","ANKS6",0.0543874601621065,-0.170394888344952,0.334,0.365,1
"LRIF1","LRIF1",0.0544131749270329,0.226429161502981,0.236,0.209,1
"PRDX6-AS1","PRDX6-AS1",0.0544134876569643,-0.103730751144359,0.501,0.533,1
"ALKBH5","ALKBH5",0.0544145109295581,0.186197057856289,0.359,0.328,1
"RXRG","RXRG",0.054442733949392,0.174803054251162,0.135,0.11,1
"AKAP17A","AKAP17A",0.0545308269168462,-0.265779055568371,0.156,0.183,1
"SORBS3","SORBS3",0.0545366499710455,-0.241650113416046,0.201,0.229,1
"ENSG00000237473","ENSG00000237473",0.0545397624415604,1.2171371323737,0.021,0.012,1
"ENSG00000249483","ENSG00000249483",0.0546351961118766,1.43764731722293,0.01,0.004,1
"BTBD10","BTBD10",0.0546502721409358,-0.144045961780948,0.472,0.5,1
"LINC01692","LINC01692",0.0546731646178351,1.21193795396437,0.01,0.004,1
"DCN","DCN",0.0546762343249642,0.447442932466536,0.068,0.051,1
"TAF2","TAF2",0.0546857608990532,-0.111754068692732,0.417,0.451,1
"SLC16A3","SLC16A3",0.054726127663396,-0.295172421626676,0.138,0.162,1
"CACNB4","CACNB4",0.0547485798324552,0.278137926873942,0.123,0.101,1
"ENSG00000273295","ENSG00000273295",0.0547576960966587,-0.222296519620407,0.01,0.019,1
"GLO1","GLO1",0.0547670489730037,0.110579241192451,0.359,0.325,1
"NECTIN3","NECTIN3",0.0548259310469565,-0.131140840899342,0.672,0.671,1
"ARL14EP","ARL14EP",0.0548375927154164,0.205542089624374,0.224,0.195,1
"ENSG00000265218","ENSG00000265218",0.0550122313553161,-0.684526716459331,0.021,0.032,1
"IZUMO1","IZUMO1",0.0550731628269848,0.81946078583547,0.01,0.004,1
"CCNP","CCNP",0.0550922725019283,0.99138866438576,0.01,0.004,1
"ZSWIM7","ZSWIM7",0.0550954465828773,0.171012101941802,0.375,0.343,1
"BCAN","BCAN",0.0551533699394874,-0.760243133488284,0.012,0.022,1
"DRAP1","DRAP1",0.0551553727953202,0.133838863762493,0.297,0.265,1
"FAM117B","FAM117B",0.0551906907444738,0.176522532660534,0.308,0.273,1
"MFSD8","MFSD8",0.0552139606735036,-0.149701812914718,0.245,0.276,1
"ZNF717","ZNF717",0.0552322247982069,0.17852025834554,0.484,0.457,1
"NEUROG2-AS1","NEUROG2-AS1",0.0552453379114181,0.968583538170154,0.01,0.004,1
"ARPC1B","ARPC1B",0.0552453379114181,1.01638423831086,0.01,0.004,1
"DNAJB5-DT","DNAJB5-DT",0.0552836595998022,1.22679962903988,0.01,0.004,1
"ZNF622","ZNF622",0.0553567391120219,0.361553819892793,0.089,0.071,1
"ENSG00000230310","ENSG00000230310",0.0554241867864984,-1.39940122153257,0.005,0.011,1
"ANKH","ANKH",0.0554922240830707,0.101308722018693,0.918,0.924,1
"KMT5C","KMT5C",0.0555365513540703,0.171186371087832,0.233,0.204,1
"TGFB2","TGFB2",0.0555840009436566,0.991327566343145,0.021,0.012,1
"ESRP1","ESRP1",0.0555910313990692,0.971929753345642,0.01,0.004,1
"PDE4A","PDE4A",0.0556630784200204,-1.0521455681516,0.008,0.015,1
"ZNF445","ZNF445",0.0557679162721712,0.231696739091893,0.295,0.266,1
"TAF5L","TAF5L",0.0557763615729715,-0.109930286759548,0.213,0.246,1
"SLC35G5","SLC35G5",0.0558004448669651,-1.48037686077397,0.006,0.013,1
"POLR1B","POLR1B",0.0558140893941082,0.452493064157427,0.084,0.065,1
"MCM3AP","MCM3AP",0.0558334578452572,-0.185506282412576,0.341,0.367,1
"LINC02018","LINC02018",0.0558597529765335,0.309722751477385,0.113,0.092,1
"C18orf32","C18orf32",0.055935078255767,0.267288458728501,0.095,0.075,1
"ENSG00000246851","ENSG00000246851",0.0559409619647846,0.440927969952362,0.081,0.063,1
"TPRKB","TPRKB",0.055954929375148,0.235883060901856,0.12,0.098,1
"ENSG00000224541","ENSG00000224541",0.0559974035896834,0.708884257596004,0.036,0.024,1
"FREM2","FREM2",0.056058823895218,-0.88753336193511,0.005,0.011,1
"CNTNAP3B","CNTNAP3B",0.056072134582198,-0.598519085203215,0.056,0.073,1
"ENSG00000241324","ENSG00000241324",0.0561688233720006,-1.16721062140306,0.008,0.015,1
"C1orf159","C1orf159",0.0561815353749962,-0.245746217164137,0.225,0.251,1
"FAM88E","FAM88E",0.0562571620018366,0.868861484632966,0.018,0.01,1
"WASF3","WASF3",0.0562780302750144,-0.216846478745157,0.412,0.431,1
"ENSG00000268750","ENSG00000268750",0.0564907319948729,0.747808270112189,0.026,0.016,1
"CSTF3","CSTF3",0.05656731975146,-0.155593556389898,0.484,0.513,1
"DCTN1-AS1","DCTN1-AS1",0.0565735616473665,-0.367372324536825,0.047,0.063,1
"ENSG00000184441","ENSG00000184441",0.0565903805419883,-0.543901688612097,0.026,0.038,1
"ZNF277","ZNF277",0.0566837046168507,-0.103854627962717,0.52,0.542,1
"AOC2","AOC2",0.0567383532716272,0.422807995971024,0.025,0.015,1
"ENSG00000224228","ENSG00000224228",0.0567496490436537,0.753303854247796,0.018,0.01,1
"JPH3","JPH3",0.05676871016503,-0.928737143707706,0.008,0.015,1
"MROH8","MROH8",0.0568487555950526,-0.31366611444551,0.1,0.122,1
"DDHD1-DT","DDHD1-DT",0.0569195120575306,-0.925081774533723,0.008,0.015,1
