"","Gene_Symbol","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ZSWIM3","ZSWIM3",0.537591196723641,0.213450912813314,0.037,0.034,1
"GLIS3","GLIS3",0.538024648421541,0.147956537332526,0.023,0.021,1
"ENSG00000253553","ENSG00000253553",0.538046479665911,0.354621963421443,0.012,0.01,1
"IRAK1","IRAK1",0.538342457682211,0.247361268264405,0.022,0.02,1
"ENSG00000269930","ENSG00000269930",0.538876904938896,-0.170330030710306,0.012,0.014,1
"ERAP1","ERAP1",0.538945964116178,-0.28053552900742,0.088,0.092,1
"GLT8D1","GLT8D1",0.539010917647619,-0.258375107226452,0.051,0.055,1
"NELL2","NELL2",0.539040335194571,-0.163944382761382,0.013,0.015,1
"PPP1R15A","PPP1R15A",0.539260439545882,0.123871175381886,0.02,0.018,1
"ZNRF3","ZNRF3",0.539923612146768,-0.183128780074132,0.093,0.098,1
"ZNF250","ZNF250",0.539975796451683,0.175383336735373,0.042,0.039,1
"NRAS","NRAS",0.540483209845458,-0.23999283574539,0.053,0.056,1
"ENSG00000259521","ENSG00000259521",0.540520599783901,-0.838112651031074,0.009,0.01,1
"PIGH","PIGH",0.540991754463916,-0.151822319933826,0.087,0.091,1
"UHRF2","UHRF2",0.541309205327952,-0.121683717286544,0.359,0.357,1
"TCEANC","TCEANC",0.541314250838382,-0.200309325597312,0.038,0.041,1
"SLC68A1","SLC68A1",0.541440633106056,0.10791231956453,0.041,0.038,1
"SAP30L","SAP30L",0.541721694057049,0.187827573362358,0.069,0.065,1
"PSMA3","PSMA3",0.541897822559245,-0.132415329930792,0.136,0.14,1
"ATP6V1C1","ATP6V1C1",0.543201020969599,-0.135390626774375,0.182,0.186,1
"MYNN","MYNN",0.543204426895568,-0.151116357114992,0.056,0.059,1
"ENSG00000228918","ENSG00000228918",0.543543442672968,-0.247154220965088,0.02,0.018,1
"FAT4","FAT4",0.543907876524867,-0.15673674275813,0.244,0.244,1
"ENSG00000250156","ENSG00000250156",0.543955884676841,-0.632068342422898,0.011,0.013,1
"JRK","JRK",0.544015596997052,-0.114496611355948,0.064,0.068,1
"CCDC28A","CCDC28A",0.544249061547732,-0.23871993584872,0.073,0.077,1
"CEP135","CEP135",0.545149755409603,-0.184963722460164,0.063,0.058,1
"TEN1","TEN1",0.545312972630412,0.321044404897062,0.018,0.016,1
"COL10A1","COL10A1",0.545454823259944,-0.184327787744444,0.022,0.024,1
"PFKFB2","PFKFB2",0.545591513723409,-0.226935518120734,0.05,0.046,1
"CENPV","CENPV",0.545788722245927,-0.183562237165793,0.064,0.068,1
"FAM241A","FAM241A",0.545887623815829,-0.179698113010707,0.185,0.189,1
"SLC46A1","SLC46A1",0.545966154477849,-0.272813161827993,0.031,0.034,1
"TARDBP","TARDBP",0.546205509584435,-0.52783420425341,0.018,0.02,1
"FIRRM","FIRRM",0.546320923100089,-0.262396298991018,0.084,0.088,1
"BEAN1","BEAN1",0.546634476766135,-0.165043404511557,0.019,0.022,1
"ROR2","ROR2",0.546860845119735,-0.348452502870436,0.009,0.01,1
"PARP10","PARP10",0.547104992719496,-0.478363328337811,0.013,0.014,1
"MUL1","MUL1",0.547115893712707,-0.185221105025736,0.045,0.048,1
"PRPS1","PRPS1",0.5473875226427,0.111734440969309,0.036,0.033,1
"NRL","NRL",0.547393800535575,0.105453392121772,0.028,0.026,1
"PIWIL2","PIWIL2",0.548414795755451,-0.216771695449193,0.035,0.031,1
"MYBPC1","MYBPC1",0.548435228707904,-0.401427697487573,0.009,0.01,1
"RAPGEFL1","RAPGEFL1",0.548626348031809,-0.200337003844671,0.037,0.04,1
"GABRA3","GABRA3",0.548854679596425,-0.589803637888136,0.011,0.013,1
"ENSG00000224032","ENSG00000224032",0.548997417536016,-0.154418886072825,0.038,0.041,1
"LINC00871","LINC00871",0.549537195602291,0.103614768583456,0.013,0.011,1
"RIPOR2","RIPOR2",0.549574638866515,-0.397757709130437,0.01,0.012,1
"PSMC3IP","PSMC3IP",0.54963601110209,-0.439304075568549,0.01,0.012,1
"BCL2L12","BCL2L12",0.55027483427496,-0.268167085722262,0.009,0.01,1
"ZNF45","ZNF45",0.550956467227702,-0.100425814661365,0.049,0.053,1
"UBXN11","UBXN11",0.550999375185272,0.366843970740654,0.01,0.008,1
"ENSG00000277203","ENSG00000277203",0.55129938930525,0.226371095372188,0.019,0.017,1
"EEF1A2","EEF1A2",0.551434597983335,-0.145169766975581,0.03,0.033,1
"PHF19","PHF19",0.551630110066329,-0.172770112242499,0.146,0.149,1
"SIGMAR1","SIGMAR1",0.551873931722364,-0.123109406169869,0.046,0.042,1
"NRG1","NRG1",0.552708336107572,-0.223931766625368,0.046,0.049,1
"MRPL44","MRPL44",0.553109739798327,-0.243166788979404,0.044,0.047,1
"PITPNA","PITPNA",0.553656732442134,-0.135758823566221,0.092,0.096,1
"SMIM1","SMIM1",0.554024688603865,-0.166701920166077,0.016,0.014,1
"PLXNA4","PLXNA4",0.554403735643865,0.322587566651108,0.014,0.012,1
"SPATA45","SPATA45",0.554472930628864,0.282963273425529,0.013,0.011,1
"TLR1","TLR1",0.555807485947357,-0.283612060236988,0.011,0.013,1
"ALDH18A1","ALDH18A1",0.556827871594856,-0.238667018825286,0.061,0.064,1
"RUVBL1","RUVBL1",0.557262898348146,-0.237596643892504,0.079,0.082,1
"RMND1","RMND1",0.557265359985836,-0.138082028440913,0.1,0.104,1
"CDC25C","CDC25C",0.557652237031772,0.143683287772819,0.01,0.008,1
"EEF1AKMT1","EEF1AKMT1",0.557701617929325,-0.120946783343165,0.084,0.088,1
"ABHD17C","ABHD17C",0.558075714758401,-0.211518383268185,0.02,0.023,1
"ENSG00000237481","ENSG00000237481",0.558203337035156,-0.174786389430309,0.013,0.014,1
"AMMECR1L","AMMECR1L",0.559210671461445,-0.103202791612612,0.063,0.067,1
"B3GALT5","B3GALT5",0.559924223513907,0.191204205150548,0.02,0.018,1
"FHIP2A","FHIP2A",0.56001976482314,-0.21558856395287,0.08,0.084,1
"UQCRFS1-DT","UQCRFS1-DT",0.56059568717233,-0.232718016223986,0.019,0.021,1
"CLMP","CLMP",0.561632991112425,0.195958073898602,0.015,0.017,1
"TMEM17","TMEM17",0.561704672111788,0.149321842683348,0.014,0.012,1
"SFT2D1","SFT2D1",0.561883977413691,-0.118284591548483,0.226,0.229,1
"EIF2B4","EIF2B4",0.562546623476294,-0.260563685286057,0.067,0.07,1
"DDR2","DDR2",0.563761532887195,0.166958952160584,0.029,0.026,1
"LRRC45","LRRC45",0.563848743136424,0.113784203436437,0.013,0.014,1
"ENSG00000253766","ENSG00000253766",0.563921734607542,-0.301611217631304,0.048,0.051,1
"SYNGAP1","SYNGAP1",0.56445672765196,0.188422772462737,0.037,0.034,1
"ENSG00000246851","ENSG00000246851",0.564761955033378,-0.157225225681905,0.031,0.033,1
"PEX13","PEX13",0.565064384688152,-0.115426910414905,0.089,0.093,1
"ENSG00000267787","ENSG00000267787",0.565191223599739,-0.140529033284902,0.049,0.052,1
"LINC00957","LINC00957",0.565899695285088,0.168288907311362,0.028,0.026,1
"GNB4","GNB4",0.566075163981129,-0.13629703985172,0.022,0.025,1
"CENPQ","CENPQ",0.566077875455487,0.15585264436381,0.062,0.059,1
"HSBP1","HSBP1",0.566339430033108,-0.135612436825067,0.173,0.176,1
"UBP1","UBP1",0.566359161693949,-0.125578088818139,0.156,0.161,1
"MMD","MMD",0.56655617685384,-0.228805600071424,0.031,0.033,1
"TBCC","TBCC",0.567409960043287,0.20759710409689,0.036,0.033,1
"ENSG00000237585","ENSG00000237585",0.567432553886502,0.246736619845464,0.012,0.01,1
"ENSG00000231236","ENSG00000231236",0.567494079895161,-0.411253740249077,0.015,0.017,1
"RAB32","RAB32",0.567751186759261,-0.594341010951753,0.012,0.014,1
"CHMP4B","CHMP4B",0.567870669963396,-0.134600952612496,0.116,0.12,1
"ZNF428","ZNF428",0.568213127960191,-0.112520395230256,0.143,0.147,1
"TRIM68","TRIM68",0.568316905117473,-0.15203958286939,0.016,0.018,1
"SCN11A","SCN11A",0.568523287556371,0.289843637189628,0.015,0.017,1
"NPIPA8","NPIPA8",0.568825787188766,0.181409582893076,0.03,0.027,1
"RINL","RINL",0.568872288379641,-0.512945534316676,0.008,0.01,1
"HHIP-AS1","HHIP-AS1",0.569162016680201,-0.300376022185649,0.055,0.058,1
"CCDC71L","CCDC71L",0.570583125692917,-0.131897952798861,0.011,0.009,1
"ZNF239","ZNF239",0.570672682346948,-0.190593763410097,0.021,0.023,1
"ARHGAP18","ARHGAP18",0.570899739733009,-0.421263884632472,0.011,0.012,1
"ARHGAP11B-DT","ARHGAP11B-DT",0.571300125774583,-0.170139150728536,0.03,0.032,1
"IMP3","IMP3",0.57154186174861,-0.200657058460031,0.053,0.057,1
"ENSG00000196826","ENSG00000196826",0.571559726636171,-0.299429062792746,0.012,0.014,1
"ENSG00000253238","ENSG00000253238",0.571677406108967,-0.345490932620753,0.013,0.015,1
"ENSG00000242553","ENSG00000242553",0.571778186641843,0.28298050970449,0.02,0.018,1
"ZSCAN12","ZSCAN12",0.572004038150115,0.226389694933385,0.033,0.031,1
"OST4","OST4",0.572021800467279,-0.241559023856099,0.084,0.087,1
"MYO3A","MYO3A",0.573003964605117,-0.257814301286311,0.008,0.01,1
"ERAL1","ERAL1",0.57315672540756,-0.218938322642749,0.04,0.042,1
"LOC101927745","LOC101927745",0.573204993163779,-0.237077347325118,0.009,0.011,1
"ZNF671","ZNF671",0.573292167273584,-0.205843600017806,0.02,0.022,1
"ENSG00000263272","ENSG00000263272",0.573416869759582,0.211881387460579,0.012,0.01,1
"ISOC1","ISOC1",0.573822472533479,-0.131187425841396,0.062,0.057,1
"GALK1","GALK1",0.574024413732546,-0.281795137807493,0.026,0.028,1
"MMS19","MMS19",0.574110465443397,-0.125642589368224,0.258,0.262,1
"ARVCF","ARVCF",0.574213211254988,-0.292210047182179,0.011,0.012,1
"SULF1","SULF1",0.574246238003155,-0.266364776985426,0.008,0.01,1
"MAP3K20","MAP3K20",0.574301292455021,0.134571171105049,0.012,0.01,1
