"","Gene_Symbol","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PAXBP1","PAXBP1",0.123353340234193,-0.109586577806149,0.308,0.341,1
"ENSG00000239300","ENSG00000239300",0.123365460921756,-0.362539919820946,0.014,0.022,1
"ORAI3","ORAI3",0.123544550470266,0.256787778322573,0.044,0.033,1
"LYPLAL1-DT","LYPLAL1-DT",0.12357574743019,-0.108532938630069,0.032,0.043,1
"TACC2","TACC2",0.123694246549729,0.105884416793491,0.057,0.073,1
"ENSG00000274561","ENSG00000274561",0.123701620294827,0.875239229693759,0.022,0.015,1
"CASP7","CASP7",0.123968157414037,0.406842777176385,0.153,0.137,1
"IL11RA","IL11RA",0.124010806117396,-0.178449955725173,0.072,0.088,1
"ENSG00000264324","ENSG00000264324",0.124056070110567,-0.346749015410309,0.143,0.162,1
"WARS1","WARS1",0.12414445824729,0.236405972717243,0.09,0.074,1
"DOCK9","DOCK9",0.124208178952822,0.362691774025715,0.185,0.167,1
"DRC3","DRC3",0.124369181840083,0.617207013311591,0.061,0.048,1
"IL1RAPL2","IL1RAPL2",0.124420529015772,-0.586074856040494,0.017,0.026,1
"ENSG00000226822","ENSG00000226822",0.124631219622799,0.756778199427054,0.018,0.011,1
"RALGPS2","RALGPS2",0.124695206263715,0.494155777395966,0.144,0.127,1
"ENPP6","ENPP6",0.124772083314375,-0.626094852467105,0.012,0.019,1
"HCFC1R1","HCFC1R1",0.124900983159892,0.364813340120384,0.062,0.048,1
"CCDC150","CCDC150",0.125110193369058,-0.712398350555976,0.012,0.019,1
"PCDH9-AS3","PCDH9-AS3",0.125110193369058,-0.862709670556221,0.012,0.019,1
"POLDIP3","POLDIP3",0.125430698809616,0.374763061936663,0.127,0.11,1
"C17orf114","C17orf114",0.125587612273265,-0.116669088684098,0.014,0.022,1
"BSN-DT","BSN-DT",0.125937639408957,-1.03231116051301,0.01,0.017,1
"CCDC85A","CCDC85A",0.125978361641938,1.23351655113837,0.037,0.027,1
"ENSG00000279159","ENSG00000279159",0.125994535909779,-1.07265614130829,0.01,0.017,1
"PITHD1","PITHD1",0.126028337057846,0.557848122411639,0.049,0.038,1
"PTP4A3","PTP4A3",0.126108388977699,-1.00556095165829,0.01,0.017,1
"TMEM106C","TMEM106C",0.126113495314315,0.49703169305404,0.027,0.019,1
"MICAL2","MICAL2",0.126117423295036,-0.117263677542024,0.033,0.044,1
"PRICKLE3","PRICKLE3",0.12612537868763,-0.742653961303489,0.018,0.026,1
"ENSG00000225811","ENSG00000225811",0.126172691131358,-0.468566808110638,0.02,0.029,1
"SLAIN2","SLAIN2",0.126338112423333,-0.136257864098968,0.198,0.222,1
"ZNF586","ZNF586",0.126365699043309,0.21070489253863,0.306,0.287,1
"HPS3","HPS3",0.126394424924262,0.421004923282496,0.137,0.12,1
"TRIM56","TRIM56",0.126454084960967,0.445412971090325,0.138,0.121,1
"PRICKLE1","PRICKLE1",0.126507505834829,-1.23290518931231,0.01,0.017,1
"THSD4","THSD4",0.126605333518322,-0.547516303503003,0.03,0.041,1
"ERCC3","ERCC3",0.126643438241069,-0.184999174397217,0.11,0.129,1
