"","Gene_Symbol","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PPP1R12B","PPP1R12B",2.65885363042662e-59,-0.410126649936179,0.63,0.709,7.10897695167164e-55
"SLC12A2-DT","SLC12A2-DT",2.92143270140132e-59,-0.500993399743134,0.353,0.471,7.81103461373671e-55
"PCSK6","PCSK6",2.94087155562929e-59,-0.240096718949323,0.489,0.649,7.86300827828603e-55
"GALM","GALM",3.72269317248103e-59,1.38083254564809,0.09,0.032,9.95336473526254e-55
"PYGL","PYGL",3.90408936271587e-59,0.935151432493692,0.195,0.108,1.04383637290934e-54
"TMEM163","TMEM163",4.20177790001057e-59,1.35100641364912,0.28,0.187,1.12342935712583e-54
"CREBRF","CREBRF",4.79171778107882e-59,0.57718448932893,0.446,0.339,1.28116158312704e-54
"NPFFR1","NPFFR1",4.89220698523234e-59,2.72259267145631,0.056,0.012,1.30802938164157e-54
"MXI1","MXI1",6.14532667753859e-59,-0.37315577051049,0.506,0.631,1.64307599377349e-54
"RNF32-DT","RNF32-DT",6.38408976630401e-59,-1.00161074797267,0.103,0.19,1.7069140808167e-54
"CX3CR1","CX3CR1",6.72100122734007e-59,1.07098948818317,0.121,0.052,1.79699409815391e-54
"COL9A3","COL9A3",7.30024694343876e-59,-0.839774559832001,0.122,0.216,1.95186702526722e-54
"MOB3B","MOB3B",1.02272239324795e-58,-0.451359915403428,0.516,0.618,2.73445286282704e-54
"DOC2A","DOC2A",1.18961368323342e-58,1.83541541968383,0.061,0.015,3.1806701048612e-54
"TLE3","TLE3",1.88651408809122e-58,1.2376308163399,0.132,0.061,5.04397271732949e-54
"LRP2","LRP2",2.11299165355745e-58,-0.362429307062057,0.372,0.516,5.64950578411656e-54
"PRAM1","PRAM1",2.84517284244294e-58,0.885156079911896,0.169,0.087,7.60713862883969e-54
"ZNF516","ZNF516",3.04821177418065e-58,0.996351899059771,0.178,0.095,8.1500038206268e-54
"GBP2","GBP2",3.53803392530224e-58,1.84382375174643,0.063,0.016,9.45964130608061e-54
"STOM","STOM",3.73424455888074e-58,1.0862747496876,0.154,0.077,9.98424967707943e-54
"LILRB4","LILRB4",4.4184773609941e-58,1.20927358258838,0.089,0.031,1.18136829200899e-53
"LRRFIP2","LRRFIP2",4.52275429198706e-58,-0.429974065114803,0.494,0.608,1.20924881504858e-53
"PAAF1","PAAF1",4.62142484103658e-58,-0.714393951607639,0.191,0.295,1.23563035974795e-53
"LIFR-AS1","LIFR-AS1",4.96972230645599e-58,-1.28768066445533,0.046,0.113,1.32875465307714e-53
"ENSG00000249061","ENSG00000249061",6.03760269147879e-58,-2.06138623216606,0.015,0.065,1.61427383162068e-53
"C10orf90","C10orf90",6.45500814024627e-58,-0.195422557259203,0.62,0.801,1.72587552645764e-53
"ENSG00000253988","ENSG00000253988",6.75763486033157e-58,1.04363621786931,0.109,0.044,1.80678883260685e-53
"LRRTM3","LRRTM3",7.13202906570897e-58,-0.449323749368542,0.341,0.464,1.90689061129861e-53
"NABP1","NABP1",7.23400094620384e-58,1.23522502586997,0.098,0.037,1.93415483298652e-53
"LINC01684","LINC01684",8.20713312762745e-58,1.12795800015594,0.117,0.05,2.19434118433375e-53
"UACA","UACA",9.76261283637962e-58,-0.658004967371872,0.195,0.301,2.61022979406282e-53
"CRYL1","CRYL1",1.1054044989881e-57,-0.498949408971564,0.273,0.39,2.95552000894447e-53
"PPM1H","PPM1H",1.15643876994505e-57,-0.385268782338391,0.448,0.574,3.09197033920207e-53
"SLC12A2","SLC12A2",1.23220312349415e-57,-0.37964606797347,0.489,0.618,3.29454149128632e-53
"CYP2J2","CYP2J2",1.26219295442364e-57,-0.71413982197229,0.184,0.287,3.37472530224248e-53
"MR1","MR1",1.33873771808853e-57,1.62848227022773,0.072,0.021,3.57938303685329e-53
"SMARCA2","SMARCA2",1.3861644316693e-57,0.477037315634851,0.563,0.465,3.7061878409542e-53
"CPB1","CPB1",1.44271341683944e-57,-1.51549233019018,0.047,0.114,3.8573828626036e-53
"LINC01505","LINC01505",1.96957946563199e-57,-0.814629296436654,0.297,0.4,5.26606461726026e-53
"ZNG1E","ZNG1E",2.02222604887123e-57,0.803413899471869,0.292,0.195,5.40682578686701e-53
"ARAP1","ARAP1",2.31359205485122e-57,0.781999108444048,0.296,0.197,6.1858510770557e-53
"CECR2","CECR2",3.53520284838904e-57,-0.408031170629559,0.411,0.535,9.45207185573776e-53
"STK31","STK31",3.61138498709728e-57,-2.05266835562713,0.018,0.069,9.655760040002e-53
"ARHGAP12","ARHGAP12",3.61777792610025e-57,0.458348351287176,0.474,0.36,9.67285284101424e-53
"SLC12A7","SLC12A7",3.91946778157035e-57,1.65645092810971,0.069,0.02,1.04794810075846e-52
"HMOX1","HMOX1",4.03588073214447e-57,1.60411301639708,0.089,0.032,1.07907343135347e-52
"KIRREL3","KIRREL3",4.81178898808416e-57,-0.335373189604709,0.499,0.638,1.28652802174406e-52
"EPN2","EPN2",4.85440374379491e-57,-0.450708032142201,0.64,0.75,1.29792192897844e-52
"ENSG00000232855","ENSG00000232855",4.96622942400313e-57,-0.608879341957479,0.211,0.321,1.32782076109572e-52
"LSP1","LSP1",5.88583652072052e-57,2.39056190676948,0.046,0.008,1.57369611054505e-52
"ENSG00000223797","ENSG00000223797",7.5479464423905e-57,-0.766053243312653,0.2,0.301,2.01809444030195e-52
"PDE1A","PDE1A",8.07744008907969e-57,-0.682880288533294,0.27,0.379,2.15966515661724e-52
"DOCK4","DOCK4",1.11586232159271e-56,0.611204583653259,0.94,0.932,2.98348108924242e-52
"ANO6","ANO6",1.27465122324532e-56,0.755192720856483,0.241,0.146,3.40803497559101e-52
"FBN1","FBN1",1.27892395362187e-56,-0.443845412935909,0.344,0.472,3.4194589747988e-52
"KANSL1L","KANSL1L",1.28403496256608e-56,0.469746089716955,0.582,0.489,3.43312427941294e-52
"MCPH1","MCPH1",1.29427294410099e-56,0.58410207903656,0.433,0.327,3.46049757064283e-52
"ENSG00000229751","ENSG00000229751",1.45138525523875e-56,1.2881787494109,0.079,0.026,3.88056875693183e-52
"GNAQ","GNAQ",1.67623576707869e-56,0.404663681572869,0.879,0.855,4.48175157043831e-52
